id,category,question,answer
60,onboarding,How do I invite teammates?,Settings → Users → Invite. Bulk invite supports CSV upload of email addresses with role and team assignment in one step.
61,api,What is the /webhooks endpoint used for?,"Use /webhooks to register webhooks for record events. It supports GET (list/read), POST (create), PATCH (partial update) and DELETE."
62,features,How accurate is Bellrock CRM's quote builder?,Internal benchmarks show quote builder delivers strong precision on production datasets. Customers can tune sensitivity per workspace.
63,use_cases,How do VPs of sales in SaaS use Bellrock CRM?,"Vps of sales at SaaS companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. SaaS-specific pipeline templates ship in the marketplace."
64,api,Does /automations support pagination?,Yes — pass `?limit=100&cursor=...` for cursor pagination on /automations. Responses include `next_cursor` in the envelope when more results are available.
65,api,Does /companies support pagination?,Yes — pass `?limit=100&cursor=...` for cursor pagination on /companies. Responses include `next_cursor` in the envelope when more results are available.
66,security,Is SCIM supported?,SCIM 2.0 user provisioning and de-provisioning is available on the Enterprise plan.
67,use_cases,How do founders in education use Bellrock CRM?,"Founders at education companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. education-specific pipeline templates ship in the marketplace."
68,integrations,Is the Intercom integration on every plan?,Intercom is available on the Growth plan and above. Some advanced field mappings and webhook hooks require Pro.
69,use_cases,How do founders in real estate use Bellrock CRM?,"Founders at real estate companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. real estate-specific pipeline templates ship in the marketplace."
70,use_cases,Can you share a customer story for fintech marketing managers?,"Several fintech customers run their full revenue cycle on Bellrock CRM. A typical marketing managers success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/fintech."
71,features,What data does forecasting need?,Forecasting relies on the standard Contact and Deal fields plus any custom fields you map. The setup wizard surfaces missing data on first run.
72,features,Does data import wizard work for international users?,"Yes — data import wizard respects user locale, timezone and currency settings. Multi-currency support requires the Pro plan or higher."
73,use_cases,How do RevOps leaders in healthcare use Bellrock CRM?,"Revops leaders at healthcare companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. healthcare-specific pipeline templates ship in the marketplace."
74,use_cases,Is Bellrock CRM a good fit for manufacturing RevOps leaders?,"Bellrock CRM is widely used by RevOps leaders in manufacturing. Common reasons cited are the manufacturing field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
75,use_cases,How do customer success teams in education use Bellrock CRM?,"Customer success teams at education companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. education-specific pipeline templates ship in the marketplace."
76,use_cases,Can you share a customer story for retail marketing managers?,"Several retail customers run their full revenue cycle on Bellrock CRM. A typical marketing managers success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/retail."
77,api,How do I authenticate to /reports?,Send the `Authorization: Bearer <token>` header with a personal API token from Settings → API or an OAuth2 access token. /reports accepts both.
78,troubleshooting,I'm seeing 'duplicate contacts after sync' — what should I do?,"If you're hitting 'duplicate contacts after sync', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
79,features,Does custom dashboards support custom fields?,"Yes. Bellrock CRM's custom dashboards reads any custom field on the Contact, Lead or Deal object, including formula and rollup fields."
80,integrations,What syncs between Bellrock CRM and Marketo?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with Marketo. Conflict resolution defaults to last-write-wins, configurable per object."
81,features,What data does duplicate detection need?,Duplicate Detection relies on the standard Contact and Deal fields plus any custom fields you map. The setup wizard surfaces missing data on first run.
82,integrations,Where do I troubleshoot Workday sync errors?,Settings → Integrations → Workday → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the Workday side.
83,features,Can I customize duplicate detection in Bellrock CRM?,"Yes — admins configure duplicate detection under Settings → Workflow → Duplicate Detection. Common customizations include thresholds, custom-field mappings and per-team overrides."
84,use_cases,Is Bellrock CRM a good fit for logistics marketing managers?,"Bellrock CRM is widely used by marketing managers in logistics. Common reasons cited are the logistics field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
85,use_cases,Can you share a customer story for SaaS RevOps leaders?,"Several SaaS customers run their full revenue cycle on Bellrock CRM. A typical RevOps leaders success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/SaaS."
86,integrations,How do I connect Slack to Bellrock CRM?,Go to Settings → Integrations → Slack → Connect. Sign in with an admin account on Slack and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
87,features,Does lead scoring work for international users?,"Yes — lead scoring respects user locale, timezone and currency settings. Multi-currency support requires the Pro plan or higher."
88,troubleshooting,I'm seeing 'deal stage probability override' — what should I do?,"If you're hitting 'deal stage probability override', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
89,features,Does pipeline management work for international users?,"Yes — pipeline management respects user locale, timezone and currency settings. Multi-currency support requires the Pro plan or higher."
90,features,Does quote builder support custom fields?,"Yes. Bellrock CRM's quote builder reads any custom field on the Contact, Lead or Deal object, including formula and rollup fields."
91,features,Can I customize data import wizard in Bellrock CRM?,"Yes — admins configure data import wizard under Settings → Workflow → Data Import Wizard. Common customizations include thresholds, custom-field mappings and per-team overrides."
92,features,Can I customize lead scoring in Bellrock CRM?,"Yes — admins configure lead scoring under Settings → Workflow → Lead Scoring. Common customizations include thresholds, custom-field mappings and per-team overrides."
93,features,Does call logging work for international users?,"Yes — call logging respects user locale, timezone and currency settings. Multi-currency support requires the Pro plan or higher."
94,security,Do you offer a status page?,"Yes — status.bellrock.example tracks API, web, automation, integrations and mobile uptime. Subscribe by email, RSS or Slack."
95,api,How do I authenticate to /activities?,Send the `Authorization: Bearer <token>` header with a personal API token from Settings → API or an OAuth2 access token. /activities accepts both.
96,use_cases,How do VPs of sales in construction use Bellrock CRM?,"Vps of sales at construction companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. construction-specific pipeline templates ship in the marketplace."
97,integrations,Does Bellrock CRM integrate with Notion?,Yes. The Notion integration is native and installed from Settings → Marketplace. It supports two-way sync for the standard objects.
98,use_cases,Can you share a customer story for non-profits sales managers?,"Several non-profits customers run their full revenue cycle on Bellrock CRM. A typical sales managers success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/non-profits."
99,integrations,How do I connect Twilio to Bellrock CRM?,Go to Settings → Integrations → Twilio → Connect. Sign in with an admin account on Twilio and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
100,api,What's the rate limit on /leads?,"API endpoints share a per-token rate limit of 100 req/min on Growth, 500 on Pro and 2000 on Enterprise. /leads respects this shared limit."
101,features,Does contact enrichment have an audit trail?,"Yes. Every change made by contact enrichment is captured in the audit log with user, timestamp and before/after values, retained for seven years."
102,security,Are you ISO 27001 certified?,Yes — ISO 27001 certified since 2023. The current certificate is available from your account team.
103,integrations,What syncs between Bellrock CRM and Drift?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with Drift. Conflict resolution defaults to last-write-wins, configurable per object."
104,integrations,Does Bellrock CRM integrate with Monday.com?,Yes. The Monday.com integration is native and installed from Settings → Marketplace. It supports two-way sync for the standard objects.
105,use_cases,Is Bellrock CRM a good fit for retail marketing managers?,"Bellrock CRM is widely used by marketing managers in retail. Common reasons cited are the retail field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
106,integrations,Where do I troubleshoot Aircall sync errors?,Settings → Integrations → Aircall → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the Aircall side.
107,onboarding,Do you offer professional services?,"Yes — implementation, integration and custom development packages are available through our Professional Services team and certified partners."
108,api,Are there webhooks for /leads events?,"Yes — every create, update and delete on /leads can fan out to a webhook endpoint. Configure subscribers under Settings → API → Webhooks."
109,features,How accurate is Bellrock CRM's data import wizard?,Internal benchmarks show data import wizard delivers strong precision on production datasets. Customers can tune sensitivity per workspace.
110,features,Is data import wizard available on the free trial?,Data Import Wizard is available during the 14-day Growth-tier trial. Starter plans do not include it.
111,pricing,How are users counted on the Growth plan?,Any user who logs in during a billing period counts as a paid seat on Growth. Read-only viewers are free up to five times the paid seat count.
112,mobile,How do I switch workspaces in the mobile app?,Tap your avatar → Switch Workspace. Up to 10 workspaces can stay signed in simultaneously.
113,features,How does Bellrock CRM's audit logs work?,Bellrock CRM provides tamper-evident audit logs with seven-year retention. The capability is included on the Growth plan and above and configurable per workspace.
114,features,Where do I enable custom objects?,Open Settings → Custom Objects → Enable. The first run takes about 60 seconds to backfill historical records.
115,use_cases,Is Bellrock CRM a good fit for energy customer success teams?,"Bellrock CRM is widely used by customer success teams in energy. Common reasons cited are the energy field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
116,api,What is the /quotes endpoint used for?,"Use /quotes to generate quotes. It supports GET (list/read), POST (create), PATCH (partial update) and DELETE."
117,use_cases,How do customer success teams in healthcare use Bellrock CRM?,"Customer success teams at healthcare companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. healthcare-specific pipeline templates ship in the marketplace."
118,use_cases,How do sales managers in logistics use Bellrock CRM?,"Sales managers at logistics companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. logistics-specific pipeline templates ship in the marketplace."
119,use_cases,How do marketing managers in professional services use Bellrock CRM?,"Marketing managers at professional services companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. professional services-specific pipeline templates ship in the marketplace."
120,pricing,Is there a free trial of the Starter plan?,Every plan ships with a 14-day free trial. No credit card is required for Starter or Growth; Enterprise trials are arranged through sales.
121,integrations,What syncs between Bellrock CRM and ClickUp?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with ClickUp. Conflict resolution defaults to last-write-wins, configurable per object."
122,integrations,What syncs between Bellrock CRM and Chargebee?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with Chargebee. Conflict resolution defaults to last-write-wins, configurable per object."
123,troubleshooting,Why am I getting 'duplicate contacts after sync'?,"If you're hitting 'duplicate contacts after sync', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
124,features,Can I customize call logging in Bellrock CRM?,"Yes — admins configure call logging under Settings → Workflow → Call Logging. Common customizations include thresholds, custom-field mappings and per-team overrides."
125,use_cases,Can you share a customer story for media sales managers?,"Several media customers run their full revenue cycle on Bellrock CRM. A typical sales managers success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/media."
126,api,Are there webhooks for /webhooks events?,"Yes — every create, update and delete on /webhooks can fan out to a webhook endpoint. Configure subscribers under Settings → API → Webhooks."
127,features,Is duplicate detection included in the API?,Yes — every duplicate detection action is exposed in the REST and GraphQL API and emits webhooks for downstream automation.
128,api,Does /activities support pagination?,Yes — pass `?limit=100&cursor=...` for cursor pagination on /activities. Responses include `next_cursor` in the envelope when more results are available.
129,api,Does /contacts support pagination?,Yes — pass `?limit=100&cursor=...` for cursor pagination on /contacts. Responses include `next_cursor` in the envelope when more results are available.
130,use_cases,Can you share a customer story for energy founders?,"Several energy customers run their full revenue cycle on Bellrock CRM. A typical founders success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/energy."
131,api,Does /imports support pagination?,Yes — pass `?limit=100&cursor=...` for cursor pagination on /imports. Responses include `next_cursor` in the envelope when more results are available.
132,integrations,Where do I troubleshoot Marketo sync errors?,Settings → Integrations → Marketo → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the Marketo side.
133,use_cases,How do VPs of sales in professional services use Bellrock CRM?,"Vps of sales at professional services companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. professional services-specific pipeline templates ship in the marketplace."
134,features,Where do I enable audit logs?,Open Settings → Audit Logs → Enable. The first run takes about 60 seconds to backfill historical records.
135,troubleshooting,How do I fix 'MFA reset'?,"If you're hitting 'MFA reset', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
136,features,Can I customize workflow automation in Bellrock CRM?,"Yes — admins configure workflow automation under Settings → Workflow → Workflow Automation. Common customizations include thresholds, custom-field mappings and per-team overrides."
137,pricing,What happens at the end of the trial?,The workspace remains accessible in read-only mode for 30 days. Choose a plan or contact sales to keep editing.
138,integrations,Does Bellrock CRM integrate with Twilio?,Yes. The Twilio integration is native and installed from Settings → Marketplace. It supports two-way sync for the standard objects.
139,features,Where do I enable lead scoring?,Open Settings → Lead Scoring → Enable. The first run takes about 60 seconds to backfill historical records.
140,integrations,Where do I troubleshoot Zapier sync errors?,Settings → Integrations → Zapier → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the Zapier side.
141,integrations,Does Bellrock CRM integrate with Chargebee?,Yes. The Chargebee integration is native and installed from Settings → Marketplace. It supports two-way sync for the standard objects.
142,use_cases,Can you share a customer story for logistics founders?,"Several logistics customers run their full revenue cycle on Bellrock CRM. A typical founders success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/logistics."
143,pricing,Can I pay by invoice instead of credit card?,"Annual contracts on Pro and Enterprise can pay by ACH, wire transfer or check. Monthly billing is credit card only."
144,integrations,How do I connect Salesforce to Bellrock CRM?,Go to Settings → Integrations → Salesforce → Connect. Sign in with an admin account on Salesforce and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
145,pricing,How are users counted on the Enterprise plan?,Any user who logs in during a billing period counts as a paid seat on Enterprise. Read-only viewers are free up to five times the paid seat count.
146,troubleshooting,How do I fix 'audit log export incomplete'?,"If you're hitting 'audit log export incomplete', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
147,features,How accurate is Bellrock CRM's workflow automation?,Internal benchmarks show workflow automation delivers strong precision on production datasets. Customers can tune sensitivity per workspace.
148,misc,Are webhooks signed?,Yes — every webhook includes an `X-Bellrock-Signature` HMAC-SHA256 header you can verify against your webhook secret.
149,api,Are there webhooks for /products events?,"Yes — every create, update and delete on /products can fan out to a webhook endpoint. Configure subscribers under Settings → API → Webhooks."
150,use_cases,Can you share a customer story for logistics marketing managers?,"Several logistics customers run their full revenue cycle on Bellrock CRM. A typical marketing managers success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/logistics."
151,integrations,Does Bellrock CRM integrate with Trello?,Yes. The Trello integration is native and installed from Settings → Marketplace. It supports two-way sync for the standard objects.
152,integrations,What syncs between Bellrock CRM and Workato?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with Workato. Conflict resolution defaults to last-write-wins, configurable per object."
153,integrations,Is the QuickBooks integration on every plan?,QuickBooks is available on the Growth plan and above. Some advanced field mappings and webhook hooks require Pro.
154,use_cases,Can you share a customer story for education founders?,"Several education customers run their full revenue cycle on Bellrock CRM. A typical founders success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/education."
155,integrations,How do I connect Monday.com to Bellrock CRM?,Go to Settings → Integrations → Monday.com → Connect. Sign in with an admin account on Monday.com and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
156,integrations,Where do I troubleshoot Greenhouse sync errors?,Settings → Integrations → Greenhouse → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the Greenhouse side.
157,features,How does Bellrock CRM's contact enrichment work?,Bellrock CRM provides live data enrichment from 12 providers including Clearbit and Apollo. The capability is included on the Growth plan and above and configurable per workspace.
158,integrations,Where do I troubleshoot Dialpad sync errors?,Settings → Integrations → Dialpad → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the Dialpad side.
159,api,What's the rate limit on /reports?,"API endpoints share a per-token rate limit of 100 req/min on Growth, 500 on Pro and 2000 on Enterprise. /reports respects this shared limit."
160,use_cases,Is Bellrock CRM a good fit for logistics sales reps?,"Bellrock CRM is widely used by sales reps in logistics. Common reasons cited are the logistics field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
161,troubleshooting,How do I fix 'two-way sync conflict'?,"If you're hitting 'two-way sync conflict', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
162,use_cases,Is Bellrock CRM a good fit for construction marketing managers?,"Bellrock CRM is widely used by marketing managers in construction. Common reasons cited are the construction field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
163,integrations,Does Bellrock CRM integrate with Zapier?,Yes. The Zapier integration is native and installed from Settings → Marketplace. It supports two-way sync for the standard objects.
